customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn_flag
9959-WOFKT,Male,f,f,t,71,t,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,f,Bank transfer (automatic),106.70,7382.25,f
4190-MFLUW,Female,f,t,t,10,t,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,f,Credit card (automatic),55.20,528.35,t
4183-MYFRB,Female,f,f,f,21,t,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,t,Electronic check,90.05,1862.90,f
8779-QRDMV,Male,t,f,f,1,f,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,t,Electronic check,39.65,39.65,t
1680-VDCWW,Male,f,t,f,12,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Bank transfer (automatic),19.80,202.25,f
1066-JKSGK,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,20.15,20.15,t
3638-WEABW,Female,f,t,f,58,t,Yes,DSL,No,Yes,No,Yes,No,No,Two year,t,Credit card (automatic),59.90,3505.10,f
6322-HRPFA,Male,f,t,t,49,t,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,f,Credit card (automatic),59.60,2970.30,f
6865-JZNKO,Female,f,f,f,30,t,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,t,Bank transfer (automatic),55.30,1530.60,f
6467-CHFZW,Male,f,t,t,47,t,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,t,Electronic check,99.35,4749.15,t
8665-UTDHZ,Male,f,t,t,1,f,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,f,Electronic check,30.20,30.20,t
5248-YGIJN,Male,f,t,f,72,t,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Credit card (automatic),90.25,6369.45,f
8773-HHUOZ,Female,f,f,t,17,t,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,t,Mailed check,64.70,1093.10,t
3841-NFECX,Female,t,t,f,71,t,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,t,Credit card (automatic),96.35,6766.95,f
4929-XIHVW,Male,t,t,f,2,t,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,t,Credit card (automatic),95.50,181.65,f
6827-IEAUQ,Female,f,t,t,27,t,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,f,Mailed check,66.15,1874.45,f
7310-EGVHZ,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Bank transfer (automatic),20.20,20.20,f
3413-BMNZE,Male,t,f,f,1,t,No,DSL,No,No,No,No,No,No,Month-to-month,f,Bank transfer (automatic),45.25,45.25,f
6234-RAAPL,Female,f,t,t,72,t,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,f,Bank transfer (automatic),99.90,7251.70,f
6047-YHPVI,Male,f,f,f,5,t,No,Fiber optic,No,No,No,No,No,No,Month-to-month,t,Electronic check,69.70,316.90,t
6572-ADKRS,Female,f,f,f,46,t,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,t,Credit card (automatic),74.80,3548.30,f
5380-WJKOV,Male,f,f,f,34,t,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,106.35,3549.25,t
8168-UQWWF,Female,f,f,f,11,t,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,t,Bank transfer (automatic),97.85,1105.40,t
8865-TNMNX,Male,f,t,t,10,t,No,DSL,No,Yes,No,No,No,No,One year,f,Mailed check,49.55,475.70,f
9489-DEDVP,Female,f,t,t,70,t,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,t,Credit card (automatic),69.20,4872.35,f
9867-JCZSP,Female,f,t,t,17,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,20.75,418.25,f
4671-VJLCL,Female,f,f,f,63,t,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,t,Credit card (automatic),79.85,4861.45,f
4080-IIARD,Female,f,t,f,13,t,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,t,Electronic check,76.20,981.45,f
3714-NTNFO,Female,f,f,f,49,t,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,t,Electronic check,84.50,3906.70,f
5948-UJZLF,Male,f,f,f,2,t,No,DSL,No,Yes,No,No,No,No,Month-to-month,f,Mailed check,49.25,97.00,f
7760-OYPDY,Female,f,f,f,2,t,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,t,Electronic check,80.65,144.15,t
7639-LIAYI,Male,f,f,f,52,t,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,t,Credit card (automatic),79.75,4217.80,f
2954-PIBKO,Female,f,t,t,69,t,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,t,Credit card (automatic),64.15,4254.10,f
8012-SOUDQ,Female,t,f,f,43,t,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,t,Electronic check,90.25,3838.75,f
9420-LOJKX,Female,f,f,f,15,t,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,t,Credit card (automatic),99.10,1426.40,t
6575-SUVOI,Female,t,t,f,25,t,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,t,Credit card (automatic),69.50,1752.65,f
3716-UVSPD,Male,f,f,f,1,t,No,DSL,No,No,No,Yes,No,No,Month-to-month,t,Electronic check,49.30,49.30,f
7495-OOKFY,Female,t,t,f,8,t,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,t,Credit card (automatic),80.65,633.30,t
4667-QONEA,Female,t,t,t,60,t,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,t,Credit card (automatic),74.85,4456.35,f
1658-BYGOY,Male,t,f,f,18,t,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,95.45,1752.55,t
8769-KKTPH,Female,f,t,t,63,t,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,t,Credit card (automatic),99.65,6311.20,f
5067-XJQFU,Male,t,t,t,66,t,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,t,Electronic check,108.45,7076.35,f
3957-SQXML,Female,f,t,t,34,t,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),24.95,894.30,f
5954-BDFSG,Female,f,f,f,72,t,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,t,Credit card (automatic),107.50,7853.70,f
0434-CSFON,Female,f,t,f,47,t,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,100.50,4707.10,f
1215-FIGMP,Male,f,f,f,60,t,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,t,Bank transfer (automatic),89.90,5450.70,f
0526-SXDJP,Male,f,t,f,72,f,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,f,Bank transfer (automatic),42.10,2962.00,f
0557-ASKVU,Female,f,t,t,18,t,No,DSL,No,No,Yes,Yes,No,No,One year,t,Credit card (automatic),54.40,957.10,f
5698-BQJOH,Female,f,f,f,9,t,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,f,Electronic check,94.40,857.25,t
5122-CYFXA,Female,f,f,f,3,t,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,t,Electronic check,75.30,244.10,f
8627-ZYGSZ,Male,f,t,f,47,t,Yes,Fiber optic,No,Yes,No,No,No,No,One year,t,Electronic check,78.90,3650.35,f
3410-YOQBQ,Female,f,f,f,31,t,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,f,Mailed check,79.20,2497.20,f
3170-NMYVV,Female,f,t,t,50,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),20.15,930.90,f
7410-OIEDU,Male,f,f,f,10,t,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,t,Mailed check,79.85,887.35,f
2273-QCKXA,Male,f,f,f,1,t,No,DSL,No,No,No,Yes,No,No,Month-to-month,f,Mailed check,49.05,49.05,f
0731-EBJQB,Female,f,t,t,52,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Electronic check,20.40,1090.65,f
1891-QRQSA,Male,t,t,t,64,t,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,t,Bank transfer (automatic),111.60,7099.00,f
8028-PNXHQ,Male,f,t,t,62,t,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Bank transfer (automatic),24.25,1424.60,f
5630-AHZIL,Female,f,f,t,3,t,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,t,Bank transfer (automatic),64.50,177.40,f
2673-CXQEU,Female,t,f,f,56,t,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,f,Electronic check,110.50,6139.50,f
6416-JNVRK,Female,f,f,f,46,t,No,DSL,No,No,No,No,No,Yes,One year,f,Credit card (automatic),55.65,2688.85,f
5590-ZSKRV,Female,f,t,t,8,t,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,f,Mailed check,54.65,482.25,f
0191-ZHSKZ,Male,t,f,f,30,t,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,t,Electronic check,74.75,2111.30,f
3887-PBQAO,Female,f,t,t,45,t,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Credit card (automatic),25.90,1216.60,f
5919-TMRGD,Female,f,f,t,1,t,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,t,Electronic check,79.35,79.35,t
8108-UXRQN,Female,f,t,t,11,f,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,f,Electronic check,50.55,565.35,f
9191-MYQKX,Female,f,t,f,7,t,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,t,Bank transfer (automatic),75.15,496.90,t
9919-YLNNG,Female,f,f,f,42,t,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,t,Bank transfer (automatic),103.80,4327.50,f
0318-ZOPWS,Female,f,t,f,49,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Bank transfer (automatic),20.15,973.35,f
4445-ZJNMU,Male,f,f,f,9,t,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,t,Credit card (automatic),99.30,918.75,f
4808-YNLEU,Female,f,t,f,35,t,No,DSL,Yes,No,No,No,Yes,No,One year,t,Bank transfer (automatic),62.15,2215.45,f
1862-QRWPE,Female,f,t,t,48,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),20.65,1057.00,f
2796-NNUFI,Female,f,t,t,46,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,19.95,927.10,f
3016-KSVCP,Male,f,t,f,29,f,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,f,Mailed check,33.75,1009.25,f
4767-HZZHQ,Male,f,t,t,30,t,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,f,Bank transfer (automatic),82.05,2570.20,f
2424-WVHPL,Male,t,f,f,1,t,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,f,Electronic check,74.70,74.70,f
7233-PAHHL,Male,f,t,t,66,t,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,t,Mailed check,84.00,5714.25,f
6067-NGCEU,Female,f,f,f,65,t,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,t,Credit card (automatic),111.05,7107.00,f
9848-JQJTX,Male,f,f,f,72,t,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,t,Bank transfer (automatic),100.90,7459.05,f
8637-XJIVR,Female,f,f,f,12,t,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,t,Electronic check,78.95,927.35,t
9803-FTJCG,Male,f,t,t,71,t,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,t,Credit card (automatic),66.85,4748.70,f
0278-YXOOG,Male,f,f,f,5,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,21.05,113.85,t
3212-KXOCR,Male,f,f,f,52,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),21.00,1107.20,f
4598-XLKNJ,Female,t,t,f,25,t,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,t,Electronic check,98.50,2514.50,t
6380-ARCEH,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,20.20,20.20,f
3679-XASPY,Female,f,t,t,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,19.45,19.45,f
4765-OXPPD,Female,f,t,t,9,t,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,f,Mailed check,65.00,663.05,t
7123-WQUHX,Male,f,f,f,38,t,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,f,Bank transfer (automatic),95.00,3605.60,f
5386-THSLQ,Female,t,t,f,66,f,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,f,Bank transfer (automatic),45.55,3027.25,f
3192-NQECA,Male,f,t,f,68,t,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,t,Bank transfer (automatic),110.00,7611.85,t
6180-YBIQI,Male,f,f,f,5,f,No phone service,DSL,No,No,No,No,No,No,Month-to-month,f,Mailed check,24.30,100.20,f
6728-DKUCO,Female,f,t,t,72,t,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,t,Electronic check,104.15,7303.05,f
9750-BOOHV,Female,f,f,f,32,f,No phone service,DSL,Yes,No,No,No,No,No,One year,f,Mailed check,30.15,927.65,f
8597-CWYHH,Male,f,f,f,43,t,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,f,Mailed check,94.35,3921.30,f
2848-YXSMW,Male,f,t,t,72,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),19.40,1363.25,f
0486-HECZI,Male,f,t,f,55,t,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,t,Electronic check,96.75,5238.90,t
4549-ZDQYY,Female,f,f,f,52,t,No,DSL,Yes,No,Yes,Yes,No,No,One year,f,Credit card (automatic),57.95,3042.25,f
5712-AHQNN,Female,f,f,f,43,t,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,t,Electronic check,91.65,3954.10,f
4846-WHAFZ,Female,t,t,f,37,t,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,t,Electronic check,76.50,2868.15,t
5256-SKJGO,Female,f,t,t,64,f,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,t,Electronic check,54.60,3423.50,f
3071-VBYPO,Male,f,t,t,3,t,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,f,Electronic check,89.85,248.40,f
9560-BBZXK,Female,f,f,f,36,f,No phone service,DSL,Yes,No,No,No,No,No,Two year,f,Bank transfer (automatic),31.05,1126.35,f
5299-RULOA,Female,f,t,t,10,t,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,t,Electronic check,100.25,1064.65,t
8402-OOOHJ,Female,f,f,f,41,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,20.65,835.15,f
9445-ZUEQE,Male,f,t,t,27,t,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,t,Credit card (automatic),85.20,2151.60,f
1091-SOZGA,Female,f,t,t,56,t,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,t,Credit card (automatic),99.80,5515.45,f
2928-HLDBA,Female,f,f,f,6,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,20.70,112.75,f
0404-SWRVG,Male,f,f,f,3,t,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,t,Electronic check,74.40,229.55,t
6497-TILVL,Female,f,t,t,7,t,No,DSL,Yes,No,No,No,No,No,Month-to-month,f,Mailed check,50.70,350.35,f
7219-TLZHO,Female,f,t,t,4,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,20.85,62.90,f
4622-YNKIJ,Male,f,f,f,33,t,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,t,Electronic check,88.95,3027.65,f
4412-YLTKF,Female,t,f,f,27,t,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,t,Electronic check,78.05,2135.50,t
6734-PSBAW,Male,f,t,f,72,t,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Bank transfer (automatic),23.55,1723.95,f
3930-ZGWVE,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.75,19.75,f
2639-UGMAZ,Male,t,f,f,71,f,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,t,Electronic check,56.45,3985.35,f
2876-GZYZC,Female,f,f,f,13,t,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,t,Electronic check,85.95,1215.65,f
6207-WIOLX,Female,f,t,t,25,f,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,t,Credit card (automatic),58.60,1502.65,t
8587-XYZSF,Male,f,f,f,67,t,No,DSL,No,No,No,Yes,No,No,Two year,f,Bank transfer (automatic),50.55,3260.10,f
3091-FYHKI,Male,f,f,f,1,f,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,t,Electronic check,35.45,35.45,t
2372-HWUHI,Male,f,f,f,2,t,No,DSL,No,No,No,No,No,No,Month-to-month,f,Electronic check,44.35,81.25,t
7799-LGRDP,Female,f,f,f,43,t,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Credit card (automatic),25.70,1188.20,f
7850-VWJUU,Female,f,f,f,23,t,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,t,Bank transfer (automatic),75.00,1778.50,f
3774-VBNXY,Female,f,t,t,64,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,20.20,1277.75,f
6217-KDYWC,Male,f,f,t,57,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,19.60,1170.55,f
0390-DCFDQ,Female,t,t,f,1,t,No,Fiber optic,No,No,No,No,No,No,Month-to-month,t,Mailed check,70.45,70.45,t
3146-MSEGF,Female,t,t,t,72,t,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Credit card (automatic),88.05,6425.65,f
4080-OGPJL,Female,f,f,f,8,t,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,f,Electronic check,71.15,563.65,t
1095-WGNGG,Female,f,t,f,61,t,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,t,Bank transfer (automatic),101.05,5971.25,f
2636-SJDOU,Male,f,f,f,64,t,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,t,Credit card (automatic),84.30,5289.05,f
1131-QQZEB,Male,t,t,f,71,t,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),23.95,1756.20,f
5716-EZXZN,Female,f,t,t,65,t,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,t,Credit card (automatic),99.05,6416.70,f
6837-BJYDQ,Male,f,f,f,3,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.60,61.35,f
2135-RXIHG,Male,f,f,f,1,t,No,DSL,No,No,No,No,No,No,Month-to-month,t,Electronic check,45.65,45.65,t
6440-DKQGE,Male,f,f,t,30,t,No,DSL,No,Yes,Yes,No,Yes,No,One year,f,Credit card (automatic),64.50,1929.95,f
3466-BYAVD,Male,f,t,t,15,t,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,t,Mailed check,69.50,1071.40,f
3780-YVMFA,Female,f,t,t,8,t,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,t,Electronic check,68.55,564.35,f
3874-EQOEP,Male,f,f,f,7,t,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,f,Mailed check,95.00,655.50,t
3800-LYTRK,Female,f,f,f,14,t,No,DSL,Yes,No,No,Yes,No,No,One year,f,Mailed check,55.70,795.15,f
1679-JRFBR,Female,f,t,t,70,t,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,t,Credit card (automatic),108.15,7930.55,f
9073-ZZIAY,Male,f,t,t,62,t,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,f,Electronic check,86.10,5215.25,f
3077-RSNTJ,Female,f,t,t,6,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.70,113.50,f
6551-GNYDG,Female,f,t,t,14,t,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,t,Bank transfer (automatic),80.90,1152.80,f
9167-APMXZ,Female,f,f,f,22,t,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,t,Bank transfer (automatic),84.15,1821.95,f
2749-CTKAJ,Male,f,t,t,22,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,20.15,419.90,f
6371-NZYEG,Male,f,t,t,16,t,No,DSL,Yes,No,Yes,No,Yes,No,Two year,f,Mailed check,64.25,1024.00,f
7554-NEWDD,Male,f,f,f,10,t,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),25.70,251.60,f
8992-VONJD,Female,f,f,t,13,t,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,t,Electronic check,56.00,764.55,f
0867-MKZVY,Female,f,t,f,20,t,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,f,Electronic check,82.40,1592.35,t
4482-EWFMI,Female,f,f,f,2,t,No,Fiber optic,No,No,No,No,No,No,Month-to-month,t,Electronic check,69.70,135.20,f
4648-YPBTM,Male,f,f,f,53,t,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,t,Bank transfer (automatic),73.90,3958.25,f
2907-ILJBN,Female,f,t,t,11,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,20.60,233.90,f
6345-FZOQH,Male,f,t,f,69,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.90,1363.45,f
3376-BMGFE,Female,f,f,f,4,t,No,Fiber optic,No,No,No,No,No,No,Month-to-month,t,Bank transfer (automatic),70.90,273.00,t
5997-OPVFA,Male,f,t,f,72,t,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,t,Bank transfer (automatic),89.05,6254.45,f
3445-HXXGF,Male,t,t,f,58,f,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,t,Electronic check,45.30,2651.20,t
1159-WFSGR,Female,f,t,t,16,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,20.40,321.40,f
7654-YWJUF,Male,f,t,f,43,t,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,t,Bank transfer (automatic),84.25,3539.25,f
1875-QIVME,Female,f,t,f,2,t,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,t,Electronic check,104.40,242.80,t
6727-IOTLZ,Male,f,t,f,14,t,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,f,Mailed check,81.95,1181.75,f
0691-JVSYA,Female,f,t,f,53,t,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,t,Bank transfer (automatic),94.85,5000.20,t
5918-VUKWP,Female,f,f,f,32,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Bank transfer (automatic),20.55,654.55,f
1744-JHKYS,Female,f,t,f,34,t,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,24.70,780.20,f
2656-FMOKZ,Female,t,f,f,15,t,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,t,Mailed check,74.45,1145.70,t
2070-FNEXE,Female,t,f,f,7,t,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,f,Bank transfer (automatic),76.45,503.60,t
