customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract_type,paperless_billing,payment_method,monthly_charges,total_charges,churn_flag,charge_decile,tenure_bucket
0620-XEFWH,Male,f,t,t,4,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,18.85,84.20,f,1,01-06
5863-OOKCL,Female,f,f,f,10,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,18.85,163.20,f,1,07-12
9975-SKRNR,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,18.90,18.90,f,1,01-06
5025-GOOKI,Female,f,f,f,20,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Credit card (automatic),18.90,347.65,f,1,13-24
9025-ZRPVR,Male,f,f,f,9,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,18.95,185.60,t,1,07-12
1386-ZIKUV,Male,f,f,f,7,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,18.95,130.55,f,1,07-12
7469-LKBCI,Male,f,f,f,16,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),18.95,326.80,f,1,13-24
7968-QUXNS,Male,f,f,f,6,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,18.95,110.15,f,1,01-06
4635-EJYPD,Male,f,t,t,32,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,18.95,613.95,f,1,25-48
3719-TDVQB,Female,t,t,f,54,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,18.95,1031.10,f,1,49+
5222-JCXZT,Male,f,f,f,4,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.00,78.90,f,1,01-06
9732-OUYRN,Female,f,t,f,49,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.00,918.70,f,1,49+
1423-BMPBQ,Female,f,t,t,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.00,19.00,f,1,01-06
0661-KQHNK,Female,f,t,t,6,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.00,105.50,f,1,01-06
2023-VQFDL,Male,f,f,f,18,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,19.00,348.80,f,1,13-24
7234-KMNRQ,Male,f,f,f,4,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.00,73.45,f,1,01-06
1218-VKFPE,Female,f,t,t,12,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.00,233.55,t,1,07-12
2005-DWQZJ,Female,f,t,t,8,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.05,201.70,f,1,07-12
4774-HHGGS,Male,f,t,f,30,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.05,637.55,f,1,25-48
1991-VOPLL,Female,f,f,f,9,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.05,157.65,f,1,07-12
9467-ROOLM,Female,f,f,f,25,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.05,461.30,f,1,25-48
1015-OWJKI,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.05,19.05,f,1,01-06
9451-WLYRI,Female,f,t,f,53,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.05,990.45,f,1,49+
0307-BCOPK,Female,f,f,f,16,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.05,326.65,f,1,13-24
1431-CYWMH,Female,f,t,t,22,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Bank transfer (automatic),19.05,454.05,f,1,13-24
4530-NDRKU,Female,f,t,t,42,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Electronic check,19.05,761.85,f,1,25-48
1697-LYYYX,Female,f,t,t,61,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.10,1143.80,f,1,49+
9039-ZVJDC,Male,f,f,f,3,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.10,53.05,f,1,01-06
6569-KTMDU,Female,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.10,19.10,f,1,01-06
9441-QHEVC,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.10,19.10,f,1,01-06
4163-HFTUK,Male,f,f,f,51,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Electronic check,19.10,1007.80,f,1,49+
1407-DIGZV,Female,f,t,t,3,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.10,52.00,f,1,01-06
0825-CPPQH,Female,f,t,f,71,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),19.10,1372.45,f,1,49+
9500-WBGRP,Male,f,f,f,69,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,19.10,1268.85,f,1,49+
8873-TMKGR,Male,f,f,f,29,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.10,529.50,f,1,25-48
6121-VZNQB,Female,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.10,19.10,t,1,01-06
7009-PCARS,Male,f,f,t,55,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Bank transfer (automatic),19.10,1001.50,f,1,49+
4933-BSAIP,Female,f,t,f,40,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.10,780.10,f,1,25-48
6016-NXBNJ,Male,f,f,f,35,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Mailed check,19.15,638.00,f,1,25-48
1231-YNDEK,Male,f,f,f,58,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Bank transfer (automatic),19.15,1035.50,f,1,49+
9046-JBFWA,Male,f,f,t,27,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.15,537.35,f,1,25-48
3498-LZGQZ,Male,f,t,t,63,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,19.15,1177.05,f,1,49+
0487-VVUVK,Male,f,t,t,25,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.15,477.60,f,1,25-48
6051-PTVNS,Female,f,t,t,55,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.15,998.10,f,1,49+
1998-VHJHK,Female,f,f,f,27,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.15,501.35,f,1,25-48
3266-FTKHB,Male,f,f,f,17,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.15,343.45,f,1,13-24
5859-HZYLF,Male,f,t,t,26,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Credit card (automatic),19.15,515.75,f,1,25-48
2862-JVEOY,Male,f,f,f,6,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.15,124.40,f,1,01-06
7302-ZHMHP,Female,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.15,19.15,f,1,01-06
3308-MHOOC,Male,f,f,t,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.20,19.20,f,1,01-06
0613-WUXUM,Female,f,t,t,70,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,19.20,1401.40,f,1,49+
8780-RSYYU,Female,f,f,f,25,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Credit card (automatic),19.20,532.10,f,1,25-48
9137-NOQKA,Male,t,f,f,2,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,19.20,37.20,f,1,01-06
9498-FIMXL,Female,f,f,f,8,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Mailed check,19.20,161.95,f,1,07-12
4232-JGKIY,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,19.20,19.20,f,1,01-06
3764-MNMOI,Male,f,f,f,46,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),19.20,908.15,f,1,25-48
9837-FWLCH,Male,f,t,t,12,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Electronic check,19.20,239.00,f,1,07-12
1663-MHLHE,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.20,19.20,f,1,01-06
9565-AXSMR,Male,f,t,t,52,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.20,1054.75,f,1,49+
6979-TNDEU,Female,f,f,f,8,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.20,156.85,f,1,07-12
3653-NCRDJ,Male,f,t,t,43,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Mailed check,19.20,776.25,f,1,25-48
1439-LCGVL,Female,f,t,f,26,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.20,459.60,f,1,25-48
3373-YZZYM,Male,f,t,t,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.20,19.20,f,1,01-06
7168-HDQHG,Female,f,t,t,36,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Bank transfer (automatic),19.20,702.90,f,1,25-48
3970-XGJDU,Female,f,f,f,62,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Credit card (automatic),19.20,1123.65,f,1,49+
4475-NVTLU,Male,f,t,t,45,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Electronic check,19.20,903.70,f,1,25-48
4946-EDSEW,Female,f,t,t,11,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.25,180.30,t,1,07-12
5186-PEIZU,Female,f,f,f,35,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Bank transfer (automatic),19.25,617.65,f,1,25-48
5510-BOIUJ,Male,f,f,t,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.25,19.25,t,1,01-06
9631-RXVJM,Male,f,f,f,35,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.25,677.90,f,1,25-48
4541-RMRLG,Male,f,f,f,7,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,19.25,112.30,t,1,07-12
1098-TDVUQ,Female,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Bank transfer (automatic),19.25,19.25,f,1,01-06
5537-UXXVS,Female,f,t,f,20,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Bank transfer (automatic),19.25,375.25,f,1,13-24
9617-UDPEU,Female,f,f,f,22,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Mailed check,19.25,412.55,f,1,13-24
6425-JWTDV,Male,f,t,f,48,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.25,855.10,f,1,25-48
9374-YOLBJ,Female,f,t,t,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,19.25,19.25,f,1,01-06
8857-CUPFQ,Male,f,t,f,63,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.25,1237.65,f,1,49+
3156-QLHBO,Male,f,f,t,2,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.25,48.35,f,1,01-06
0206-OYVOC,Female,f,t,t,46,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,19.25,864.20,f,1,25-48
0303-WMMRN,Male,f,f,f,5,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.25,86.05,f,1,01-06
9972-EWRJS,Female,f,t,t,67,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Bank transfer (automatic),19.25,1372.90,f,1,49+
6082-GLJIX,Male,f,f,f,18,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.25,331.35,f,1,13-24
7293-LSCDV,Female,f,t,t,60,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Credit card (automatic),19.25,1103.25,f,1,49+
9531-NSBMR,Female,f,f,f,36,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Bank transfer (automatic),19.25,679.80,f,1,25-48
2146-EGVDT,Male,f,t,t,59,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),19.30,1192.70,f,1,49+
3976-HXHCE,Male,f,f,f,72,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),19.30,1414.80,f,1,49+
1724-IQWNM,Male,f,f,t,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.30,19.30,f,1,01-06
5602-BVFMK,Female,f,f,f,12,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.30,228.75,f,1,07-12
7190-XHTWJ,Female,f,f,f,38,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.30,755.50,f,1,25-48
2320-YKQBO,Female,f,f,f,7,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.30,144.95,f,1,07-12
7926-IJOOU,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Credit card (automatic),19.30,19.30,f,1,01-06
3308-DGHKL,Male,f,f,f,69,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Bank transfer (automatic),19.30,1447.90,f,1,49+
7785-RDVIG,Female,f,t,t,3,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.30,54.70,f,1,01-06
6598-RFFVI,Male,f,f,f,2,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.30,28.30,t,1,01-06
4742-TXUEX,Female,f,t,t,47,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),19.30,890.50,f,1,25-48
4667-OHGKG,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.30,19.30,t,1,01-06
1915-OAKWD,Female,f,f,t,16,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Bank transfer (automatic),19.30,360.35,f,1,13-24
4815-TUMEQ,Female,f,f,f,10,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Mailed check,19.30,185.20,f,1,07-12
9347-AERRL,Male,f,t,f,23,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.30,486.20,f,1,13-24
0761-AETCS,Female,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,19.30,19.30,t,1,01-06
2592-HODOV,Male,f,f,f,13,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.30,259.65,f,1,13-24
3523-BRGUW,Male,t,f,f,26,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.30,504.20,f,1,25-48
5914-GXMDA,Female,f,t,f,32,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.30,593.20,f,1,25-48
5787-KXGIY,Male,f,t,f,72,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),19.30,1304.80,f,1,49+
5465-BUBFA,Female,f,t,t,41,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),19.30,772.40,f,1,25-48
0396-HUJBP,Female,f,f,f,2,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.30,44.40,f,1,01-06
6112-KTHFQ,Female,f,f,f,13,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.30,279.30,f,1,13-24
4641-FROLU,Female,f,t,t,30,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.30,602.90,f,1,25-48
1735-XMJVH,Male,f,t,t,8,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Mailed check,19.35,152.60,f,1,07-12
4903-UYAVB,Male,f,t,f,5,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.35,126.05,t,1,01-06
5961-VUSRV,Female,f,f,f,12,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Bank transfer (automatic),19.35,219.35,f,1,07-12
7643-RCHXS,Female,f,t,t,63,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Electronic check,19.35,1263.85,f,1,49+
2096-XOTMO,Female,f,t,t,16,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.35,275.90,f,1,13-24
9766-HGEDE,Female,f,t,f,17,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.35,307.00,f,1,13-24
4311-QTTAI,Female,f,f,f,16,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Credit card (automatic),19.35,295.55,f,1,13-24
5917-HBSDW,Female,f,t,t,37,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Electronic check,19.35,683.75,f,1,25-48
6323-AYBRX,Male,f,f,f,59,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.35,1099.60,t,1,49+
2892-GESUL,Female,f,t,t,18,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.35,309.25,f,1,13-24
8747-UDCOI,Female,f,t,f,65,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),19.35,1319.95,f,1,49+
4425-OWHWB,Female,f,f,f,20,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Credit card (automatic),19.35,433.75,f,1,13-24
4893-GYUJU,Female,f,f,f,50,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,t,Mailed check,19.35,1033.00,f,1,49+
8922-NPKBJ,Male,f,t,t,42,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.35,867.30,f,1,25-48
2075-PUEPR,Male,f,t,t,55,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),19.35,1153.25,f,1,49+
1345-ZUKID,Male,f,f,f,14,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.35,324.80,f,1,13-24
2266-FUBDZ,Male,f,t,t,15,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.35,278.85,f,1,13-24
9142-XMYJH,Female,f,f,f,29,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Credit card (automatic),19.35,601.60,f,1,25-48
3620-EHIMZ,Female,f,t,t,52,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Mailed check,19.35,1031.70,f,1,49+
0366-NQSHS,Male,f,f,f,2,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.35,46.35,f,1,01-06
5986-WWXDV,Male,f,f,t,39,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Bank transfer (automatic),19.35,779.20,f,1,25-48
2428-HYUNX,Male,t,t,f,44,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Credit card (automatic),19.35,847.25,f,1,25-48
4573-JKNAE,Male,f,f,t,12,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),19.35,212.30,f,1,07-12
1302-TPUBN,Male,f,f,f,66,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),19.35,1240.80,f,1,49+
2007-QVGAW,Female,f,t,t,68,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Bank transfer (automatic),19.35,1292.65,f,1,49+
3910-MRQOY,Female,f,t,f,72,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Bank transfer (automatic),19.40,1496.45,f,1,49+
0098-BOWSO,Male,f,f,f,27,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Electronic check,19.40,529.80,f,1,25-48
5616-PRTNT,Male,f,f,t,20,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,t,Electronic check,19.40,374.50,t,1,13-24
6518-PPLMZ,Male,f,t,t,53,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Mailed check,19.40,1110.35,f,1,49+
2626-VEEWG,Male,f,t,t,67,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,t,Credit card (automatic),19.40,1284.20,f,1,49+
5016-LIPDW,Male,f,t,t,57,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.40,1061.60,f,1,49+
2848-YXSMW,Male,f,t,t,72,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),19.40,1363.25,f,1,49+
0839-QNXME,Female,f,f,f,30,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,f,Credit card (automatic),19.40,578.50,f,1,25-48
5766-ZJYBB,Male,f,f,f,1,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,f,Mailed check,19.40,19.40,t,1,01-06
8249-THVEC,Male,f,t,t,51,t,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,f,Mailed check,19.40,997.75,f,1,49+
